cell,hexagon_geometry,entity_id,city_name,city_id,orders,scraping_point_hex_centroid,zone_name,longitude,latitude
1236,"POLYGON ((5314912.222539073 19391281.274751462, 5315162.222539073 19390848.26204957, 5314912.222539073 19390415.24934768, 5314412.222539073 19390415.24934768, 5314162.222539073 19390848.26204957, 5314412.222539073 19391281.274751462, 5314912.222539073 19391281.274751462))",DJ_CZ,Praha,202,1379.0,POINT (5314662.222539073 19390848.262049567),['Praha stred/center'],5314662.222539073,19390848.262049567
965,"POLYGON ((5311912.222539073 19393879.35096281, 5312162.222539073 19393446.33826092, 5311912.222539073 19393013.325559027, 5311412.222539073 19393013.325559027, 5311162.222539073 19393446.33826092, 5311412.222539073 19393879.35096281, 5311912.222539073 19393879.35096281))",DJ_CZ,Praha,202,1313.0,POINT (5311662.222539073 19393446.33826092),"['Praha sever/north', 'Praha stred/center']",5311662.222539073,19393446.33826092
1110,"POLYGON ((5313412.222539073 19384353.0715212, 5313662.222539073 19383920.05881931, 5313412.222539073 19383487.046117418, 5312912.222539073 19383487.046117418, 5312662.222539073 19383920.05881931, 5312912.222539073 19384353.0715212, 5313412.222539073 19384353.0715212))",DJ_CZ,Praha,202,874.0,POINT (5313162.222539073 19383920.05881931),"['Praha zapad/west', 'Praha stred/center']",5313162.222539073,19383920.05881931
1573,"POLYGON ((5318662.222539073 19389982.236645788, 5318912.222539073 19389549.223943897, 5318662.222539073 19389116.211242005, 5318162.222539073 19389116.211242005, 5317912.222539073 19389549.223943897, 5318162.222539073 19389982.236645788, 5318662.222539073 19389982.236645788))",DJ_CZ,Praha,202,1027.0,POINT (5318412.222539073 19389549.223943897),"['Praha jih/south', 'Praha stred/center']",5318412.222539073,19389549.223943897
1298,"POLYGON ((5315662.222539073 19396044.414472267, 5315912.222539073 19395611.401770376, 5315662.222539073 19395178.389068484, 5315162.222539073 19395178.389068484, 5314912.222539073 19395611.401770376, 5315162.222539073 19396044.414472267, 5315662.222539073 19396044.414472267))",DJ_CZ,Praha,202,656.0,POINT (5315412.222539074 19395611.401770376),"['Praha vychod/east', 'Praha stred/center']",5315412.222539074,19395611.401770376
2621,"POLYGON ((5330662.222539073 19410766.846336573, 5330912.222539073 19410333.833634682, 5330662.222539073 19409900.82093279, 5330162.222539073 19409900.82093279, 5329912.222539073 19410333.833634682, 5330162.222539073 19410766.846336573, 5330662.222539073 19410766.846336573))",DJ_CZ,Praha,202,124.0,POINT (5330412.222539074 19410333.833634682),['Ricany'],5330412.222539074,19410333.833634682
2366,"POLYGON ((5327662.222539073 19399508.516087398, 5327912.222539073 19399075.503385507, 5327662.222539073 19398642.490683615, 5327162.222539073 19398642.490683615, 5326912.222539073 19399075.503385507, 5327162.222539073 19399508.516087398, 5327662.222539073 19399508.516087398))",DJ_CZ,Praha,202,129.0,POINT (5327412.222539073 19399075.503385507),['Pruhonice'],5327412.222539073,19399075.503385507
3085,"POLYGON ((3951763.6616476127 19340374.956350043, 3952013.6616476127 19339941.943648152, 3951763.6616476127 19339508.93094626, 3951263.6616476127 19339508.93094626, 3951013.6616476127 19339941.943648152, 3951263.6616476127 19340374.956350043, 3951763.6616476127 19340374.956350043))",FO_NO,Oslo,1,5864.0,POINT (3951513.6616476136 19339941.943648152),['Oslo'],3951513.6616476136,19339941.943648152
3916,"POLYGON ((3960013.6616476127 19345138.09607085, 3960263.6616476127 19344705.083368957, 3960013.6616476127 19344272.070667066, 3959513.6616476127 19344272.070667066, 3959263.6616476127 19344705.083368957, 3959513.6616476127 19345138.09607085, 3960013.6616476127 19345138.09607085))",FO_NO,Oslo,1,629.0,POINT (3959763.661647613 19344705.083368957),"['Oslo', 'Oslo south']",3959763.661647613,19344705.083368957
2845,"POLYGON ((3949513.6616476127 19351200.273897327, 3949763.6616476127 19350767.261195436, 3949513.6616476127 19350334.248493545, 3949013.6616476127 19350334.248493545, 3948763.6616476127 19350767.261195436, 3949013.6616476127 19351200.273897327, 3949513.6616476127 19351200.273897327))",FO_NO,Oslo,1,685.0,POINT (3949263.661647613 19350767.261195436),,3949263.661647613,19350767.261195436
3136,"POLYGON ((3952513.6616476127 19362458.604146503, 3952763.6616476127 19362025.59144461, 3952513.6616476127 19361592.57874272, 3952013.6616476127 19361592.57874272, 3951763.6616476127 19362025.59144461, 3952013.6616476127 19362458.604146503, 3952513.6616476127 19362458.604146503))",FO_NO,Oslo,1,983.0,POINT (3952263.661647613 19362025.59144461),,3952263.661647613,19362025.59144461
3179,"POLYGON ((3952513.6616476127 19325219.511783846, 3952763.6616476127 19324786.499081954, 3952513.6616476127 19324353.486380063, 3952013.6616476127 19324353.486380063, 3951763.6616476127 19324786.499081954, 3952013.6616476127 19325219.511783846, 3952513.6616476127 19325219.511783846))",FO_NO,Oslo,1,221.0,POINT (3952263.661647613 19324786.499081954),,3952263.661647613,19324786.499081954
3946,"POLYGON ((3960013.6616476127 19319157.333957367, 3960263.6616476127 19318724.321255475, 3960013.6616476127 19318291.308553584, 3959513.6616476127 19318291.308553584, 3959263.6616476127 19318724.321255475, 3959513.6616476127 19319157.333957367, 3960013.6616476127 19319157.333957367))",FO_NO,Oslo,1,164.0,POINT (3959763.661647613 19318724.321255475),,3959763.661647613,19318724.321255475
5514,"POLYGON ((3975763.6616476127 19342973.03256139, 3976013.6616476127 19342540.0198595, 3975763.6616476127 19342107.00715761, 3975263.6616476127 19342107.00715761, 3975013.6616476127 19342540.0198595, 3975263.6616476127 19342973.03256139, 3975763.6616476127 19342973.03256139))",FO_NO,Oslo,1,108.0,POINT (3975513.661647613 19342540.0198595),['Ski'],3975513.661647613,19342540.0198595
919,"POLYGON ((3930763.6616476127 19373283.921693787, 3931013.6616476127 19372850.908991896, 3930763.6616476127 19372417.896290004, 3930263.6616476127 19372417.896290004, 3930013.6616476127 19372850.908991896, 3930263.6616476127 19373283.921693787, 3930763.6616476127 19373283.921693787))",FO_NO,Oslo,1,122.0,POINT (3930513.661647613 19372850.908991892),,3930513.661647613,19372850.908991892
7427,"POLYGON ((7479098.556898157 21874745.01537599, 7479348.556898157 21874312.0026741, 7479098.556898157 21873878.989972208, 7478598.556898157 21873878.989972208, 7478348.556898157 21874312.0026741, 7478598.556898157 21874745.01537599, 7479098.556898157 21874745.01537599))",FY_CY,Nicosia,1,1887.0,POINT (7478848.556898157 21874312.002674095),['Nicosia central'],7478848.556898157,21874312.002674095
9166,"POLYGON ((7489598.556898157 21872146.939164642, 7489848.556898157 21871713.92646275, 7489598.556898157 21871280.91376086, 7489098.556898157 21871280.91376086, 7488848.556898157 21871713.92646275, 7489098.556898157 21872146.939164642, 7489598.556898157 21872146.939164642))",FY_CY,Nicosia,1,628.0,POINT (7489348.556898157 21871713.926462747),"['Nicosia central', 'Lakatamia']",7489348.556898157,21871713.926462747
